tau,m,Dg,LLE,H,S
4.000000,11.000000,2.371525,1.273556,0.741972,0.830979
5.000000,23.000000,1.291348,0.144020,0.773415,0.220517
2.000000,16.000000,2.208995,1.096025,0.695665,0.634574
5.000000,10.000000,2.069915,1.159497,0.697788,0.705643
2.000000,6.000000,1.796026,0.373942,0.659937,0.724589
1.000000,6.000000,1.320226,0.108670,0.689744,0.855316
1.000000,6.000000,1.244728,0.051636,0.715459,1.005541
7.000000,17.000000,1.337188,-0.041314,0.744006,0.281599
3.000000,40.000000,0.835362,1.407436,0.664183,0.125721
1.000000,9.000000,0.570477,0.799227,0.754474,0.248475
1.000000,13.000000,1.513887,0.405584,0.589444,0.559814
6.000000,10.000000,1.671519,0.282166,0.675535,0.682274
4.000000,12.000000,1.539485,1.203648,0.681172,0.852601
3.000000,12.000000,2.535869,1.102915,0.642745,0.780275
2.000000,5.000000,1.673669,0.304784,0.694605,0.733844
1.000000,5.000000,1.252166,0.041772,0.653986,0.875662
1.000000,5.000000,1.281671,0.196105,0.626377,0.675205
1.000000,6.000000,1.322782,0.213121,0.643734,0.865285
3.000000,11.000000,2.409891,0.884229,0.593048,0.712298
1.000000,6.000000,0.774963,0.316559,0.753719,0.633140
2.000000,5.000000,1.267802,0.460412,0.815722,0.542418
1.000000,5.000000,1.129883,0.167670,0.701241,0.621742
2.000000,5.000000,1.732060,0.421911,0.647895,0.796769
3.000000,12.000000,2.618802,0.005583,0.697883,0.852954
6.000000,8.000000,2.282859,0.021155,0.652053,0.682966
2.000000,13.000000,2.610177,0.856233,0.673882,0.830792
1.000000,5.000000,1.020147,0.275419,0.710699,0.692808
3.000000,13.000000,2.423593,0.771985,0.636834,0.723693
9.000000,9.000000,1.366549,0.112232,0.796945,0.258404
3.000000,13.000000,1.378531,0.665220,0.698313,0.238319
6.000000,11.000000,1.731011,0.078331,0.676989,0.774775
8.000000,13.000000,1.766898,0.003199,0.885047,0.639060
3.000000,10.000000,2.548250,1.004867,0.666999,0.677277
3.000000,13.000000,2.270556,1.101205,0.668632,0.851400
1.000000,5.000000,1.298200,0.201279,0.623815,0.664576
2.000000,5.000000,1.540740,0.399388,0.735242,0.641615
1.000000,5.000000,1.289500,0.210255,0.740837,1.024721
2.000000,9.000000,2.275759,0.777441,0.743307,0.680733
5.000000,6.000000,2.243258,0.961269,0.679770,0.538671
3.000000,15.000000,2.303800,1.233255,0.737796,0.751525
1.000000,6.000000,0.463614,0.996754,0.739127,0.321680
1.000000,6.000000,1.285238,0.163310,0.732856,0.767952
2.000000,5.000000,1.897026,0.526954,0.643276,0.828150
4.000000,14.000000,2.062893,0.378488,0.663486,0.670562
2.000000,14.000000,2.807803,0.831582,0.690610,0.892209
3.000000,14.000000,2.449440,0.906231,0.691594,0.909559
2.000000,17.000000,2.822794,0.847324,0.685382,0.860011
1.000000,7.000000,1.540785,0.114888,0.684840,0.839685
3.000000,6.000000,1.877732,0.643731,0.752268,0.607500
10.000000,8.000000,1.969472,0.141080,0.729238,0.499177
2.000000,6.000000,1.886804,0.415701,0.711423,0.641369
5.000000,10.000000,2.212824,1.183716,0.705330,0.640175
2.000000,5.000000,1.230133,0.254382,0.725950,0.574040
6.000000,16.000000,0.753472,0.104785,0.643893,0.812704
2.000000,7.000000,1.781766,0.642126,0.697955,0.638863
3.000000,9.000000,2.417231,0.850185,0.651993,0.779309
3.000000,7.000000,1.828579,0.758667,0.703005,0.550432
5.000000,12.000000,1.498407,1.286030,0.647199,0.781571
5.000000,7.000000,2.396640,0.646818,0.710549,0.641733
7.000000,12.000000,1.193240,0.012674,0.785054,0.489843
1.000000,4.000000,0.865727,0.321113,0.734576,0.555347
12.000000,7.000000,1.771131,0.211876,0.715578,0.533568
2.000000,6.000000,1.167711,0.704642,0.774595,0.576282
6.000000,6.000000,2.067279,0.746096,0.712934,0.532107
2.000000,5.000000,1.951935,0.109122,0.727268,1.041340
7.000000,9.000000,1.850465,0.550935,0.570872,0.562388
1.000000,6.000000,1.038761,0.258778,0.705533,0.622819
6.000000,10.000000,1.538761,1.229758,0.636570,0.729330
1.000000,5.000000,1.037205,0.070207,0.701912,0.732210
2.000000,11.000000,1.763460,0.432383,0.674744,0.498158
3.000000,10.000000,2.506436,1.068118,0.699900,0.724441
3.000000,10.000000,2.586782,0.859396,0.699304,0.837329
5.000000,11.000000,1.920353,0.009527,0.761654,0.540821
5.000000,13.000000,1.512688,0.235360,0.690672,0.913273
5.000000,12.000000,1.579932,1.324641,0.650133,0.843963
2.000000,27.000000,1.368906,1.311991,0.665904,0.172300
4.000000,10.000000,2.244771,0.757829,0.707304,1.061069
5.000000,14.000000,1.321910,0.315980,0.688337,0.884700
19.000000,8.000000,0.726727,0.017982,0.711800,0.613203
2.000000,6.000000,2.436404,0.287923,0.730148,1.033953
3.000000,13.000000,2.461955,1.131851,0.657675,0.896445
3.000000,9.000000,2.275510,0.976594,0.688481,0.529169
3.000000,11.000000,2.441036,1.151405,0.700691,0.881532
6.000000,12.000000,1.333468,0.137435,0.740451,0.675500
5.000000,11.000000,2.052539,1.231884,0.645935,1.100048
1.000000,6.000000,0.919952,0.535981,0.827796,0.556417
6.000000,10.000000,1.812269,1.342989,0.676014,0.721215
3.000000,16.000000,1.788300,1.329753,0.655058,0.844563
2.000000,5.000000,1.523969,0.081525,0.651893,0.814873
4.000000,8.000000,2.389655,0.756081,0.722897,0.572858
2.000000,6.000000,1.880166,0.258208,0.690144,0.701770
3.000000,9.000000,1.807947,0.784497,0.647505,0.577155
5.000000,12.000000,2.066697,0.946417,0.766375,0.785791
4.000000,12.000000,2.228296,0.500718,0.641935,0.740648
10.000000,9.000000,1.513732,0.187561,0.695542,0.701819
3.000000,9.000000,2.751586,0.784517,0.642125,0.806738
3.000000,11.000000,2.598826,0.048000,0.687531,0.893248
4.000000,15.000000,2.071965,0.434201,0.742520,0.489116
5.000000,10.000000,1.742236,1.325597,0.647195,0.749673
1.000000,6.000000,1.282574,0.076624,0.695947,0.835306
