tau,m,Dg,LLE,H,S
1.000000,6.000000,1.163913,0.258704,0.537706,0.656099
1.000000,6.000000,1.778768,0.396855,0.601420,0.835395
3.000000,8.000000,2.093278,0.775370,0.511583,0.786325
1.000000,5.000000,1.560565,1.379774,0.483426,0.622155
2.000000,10.000000,2.170615,0.748483,0.574874,0.641098
6.000000,15.000000,0.846912,0.016136,0.555278,0.687994
1.000000,9.000000,1.092408,1.439889,0.670439,0.473686
3.000000,7.000000,1.787622,2.586455,0.396195,0.447551
1.000000,5.000000,1.354681,0.660461,0.535760,0.691448
6.000000,5.000000,2.148151,0.728119,0.449350,0.744901
2.000000,6.000000,1.862497,0.255290,0.526459,0.737255
4.000000,25.000000,0.321956,1.098526,0.512878,0.440401
2.000000,8.000000,1.805407,1.898744,0.410832,0.479644
3.000000,9.000000,2.353195,0.436794,0.661169,0.700419
1.000000,6.000000,1.341826,1.570144,0.643259,0.519376
6.000000,16.000000,1.363550,0.058057,0.670237,0.468531
1.000000,7.000000,1.904646,0.367636,0.550315,0.913640
2.000000,10.000000,1.763525,1.557566,0.653378,0.505994
1.000000,5.000000,1.075698,0.867057,0.526246,0.564106
4.000000,7.000000,1.750815,1.933105,0.443746,0.650607
3.000000,21.000000,0.652149,0.485249,0.594839,0.579088
1.000000,5.000000,1.098145,0.466902,0.549512,0.686169
3.000000,8.000000,1.801799,1.298084,0.545591,0.677834
6.000000,13.000000,0.562552,0.011504,0.563570,0.790487
2.000000,7.000000,1.604122,1.042510,0.556482,0.568565
5.000000,20.000000,0.916894,0.234794,0.466027,0.547304
2.000000,5.000000,2.292322,0.477384,0.554333,0.807485
3.000000,19.000000,1.570886,0.119624,0.537384,0.638738
5.000000,9.000000,1.698385,0.905813,0.678439,0.589632
2.000000,7.000000,2.240363,0.616431,0.492067,0.752074
1.000000,8.000000,1.309341,1.731500,0.505657,0.461681
4.000000,25.000000,0.199483,0.406306,0.580376,0.550882
3.000000,25.000000,0.643603,0.223295,0.538835,0.534497
2.000000,5.000000,2.165095,0.306346,0.552384,0.859070
3.000000,6.000000,2.228833,0.988743,0.549666,0.909111
2.000000,6.000000,1.971045,0.986723,0.498994,0.594147
1.000000,7.000000,1.281153,0.353747,0.545144,0.655603
2.000000,6.000000,1.460152,0.772415,0.663207,0.559347
1.000000,4.000000,1.426293,1.127899,0.518204,0.653233
2.000000,11.000000,1.735484,1.534695,0.642776,0.601485
8.000000,13.000000,0.509474,0.414517,0.572367,0.674276
1.000000,5.000000,1.565496,1.495224,0.440449,0.612542
2.000000,5.000000,1.987333,0.232410,0.657968,0.750682
4.000000,16.000000,1.051089,0.019727,0.610451,0.671459
3.000000,19.000000,1.524365,0.633973,0.656349,0.475133
