Dg,LLE,H
2.198989,0.314230,0.741972
0.973153,0.063466,0.773415
2.208995,0.374955,0.695665
1.888234,0.498178,0.697788
1.796026,0.100070,0.659937
1.393610,0.261997,0.689744
1.244728,-0.015997,0.715459
1.337188,-0.021054,0.744006
0.835362,1.525286,0.664183
0.570477,0.458634,0.754474
1.513887,-0.004625,0.589444
1.671519,0.102538,0.675535
0.965308,0.542163,0.681172
2.231587,0.184398,0.642745
2.247058,0.326483,0.694605
1.252166,-0.021769,0.653986
1.281671,0.161995,0.626377
1.322782,0.058613,0.643734
2.409891,-0.350821,0.593048
0.774963,-0.020921,0.753719
1.267802,-0.008989,0.815722
1.129883,0.496592,0.701241
1.732060,0.107318,0.647895
2.549199,0.005710,0.697883
2.085402,-0.014106,0.652053
2.610177,-0.015224,0.673882
1.020147,0.041517,0.710699
2.203678,0.120168,0.636834
1.366549,0.131336,0.796945
1.487320,0.357164,0.698313
1.731011,0.036805,0.676989
1.766898,0.038541,0.885047
2.165657,0.239477,0.666999
2.270556,-0.132047,0.668632
1.298200,0.106345,0.623815
1.540740,-0.018950,0.735242
1.289500,0.116925,0.740837
2.358611,-0.006237,0.743307
2.305462,0.156184,0.679770
2.065614,0.361819,0.737796
0.463614,0.354638,0.739127
1.285238,-0.057015,0.732856
1.897026,0.116611,0.643276
1.950552,0.160878,0.663486
2.807803,0.024665,0.690610
2.449440,0.184155,0.691594
2.822794,-0.038454,0.685382
1.540785,-0.040822,0.684840
1.877732,-0.092320,0.752268
1.969472,0.112392,0.729238
1.886804,0.179436,0.711423
2.212824,0.423838,0.705330
1.230133,-0.280024,0.725950
0.753472,0.103293,0.643893
1.781766,-0.051038,0.697955
2.417231,0.124088,0.651993
1.828579,-0.061503,0.703005
1.301260,0.670936,0.647199
2.261345,0.036933,0.710549
1.193240,0.008095,0.785054
0.865727,0.009450,0.734576
1.771131,0.114873,0.715578
1.167711,0.048388,0.774595
2.067279,0.025180,0.712934
1.951935,-0.127127,0.727268
1.675592,0.306251,0.570872
1.038761,0.112328,0.705533
1.314825,0.672659,0.636570
1.037205,-0.035234,0.701912
1.763460,-0.011125,0.674744
2.506436,0.260965,0.699900
2.586782,0.002312,0.699304
1.785633,-0.000648,0.761654
1.512688,0.142061,0.690672
1.227755,0.934182,0.650133
1.368906,0.852078,0.665904
2.244771,0.038253,0.707304
1.321910,0.224825,0.688337
0.541409,-0.033028,0.711800
2.436404,-0.012432,0.730148
2.415619,0.293672,0.657675
2.275510,0.384709,0.688481
2.441036,0.095711,0.700691
1.137553,0.058318,0.740451
2.052539,0.483897,0.645935
0.919952,0.135023,0.827796
1.812269,0.522547,0.676014
1.788300,0.383988,0.655058
1.523969,-0.126829,0.651893
2.389655,0.079558,0.722897
2.039636,-0.114138,0.690144
1.807947,0.039085,0.647505
2.066697,0.461105,0.766375
1.860473,0.106207,0.641935
1.291406,0.092623,0.695542
2.751586,0.133147,0.642125
2.598826,0.020287,0.687531
2.071965,0.297242,0.742520
1.742236,0.294130,0.647195
1.282574,-0.036377,0.695947
