Dg,LLE,H
1.163913,0.029703,0.537706
1.778768,0.170909,0.601420
2.093278,0.169604,0.511583
1.560565,0.762275,0.483426
2.170615,0.126593,0.574874
0.846912,0.018279,0.555278
1.092408,0.331098,0.670439
1.721413,1.733010,0.396195
1.354681,0.481817,0.535760
2.148151,0.076653,0.449350
1.862497,-0.020055,0.526459
0.321956,0.915277,0.512878
1.802679,1.183909,0.410832
2.353195,0.108518,0.661169
1.341826,0.880105,0.643259
1.174006,0.016999,0.670237
1.904646,0.125067,0.550315
1.763525,0.673855,0.653378
1.075698,0.467193,0.526246
1.750815,1.036810,0.443746
0.652149,0.302338,0.594839
1.098145,0.355396,0.549512
1.801799,0.491319,0.545591
0.562552,0.013420,0.563570
1.604122,0.395785,0.556482
0.916894,0.164598,0.466027
2.292322,0.080118,0.554333
1.570886,0.054003,0.537384
1.698385,0.446758,0.678439
2.240363,0.221207,0.492067
1.309341,0.978824,0.505657
0.199483,0.439290,0.580376
0.643603,0.136999,0.538835
2.165095,-0.056575,0.552384
2.228833,0.342526,0.549666
1.971045,0.564180,0.498994
1.281153,0.002795,0.545144
1.460152,0.177748,0.663207
1.426293,0.790555,0.518204
1.735484,0.743110,0.642776
0.509474,0.438172,0.572367
1.565496,0.884741,0.440449
1.987333,0.016655,0.657968
0.905476,0.016255,0.610451
1.524365,0.505118,0.656349
1.659572,0.207370,0.562662
1.852610,-0.019040,0.490663
0.668825,0.024162,0.552373
1.776686,0.312598,0.514041
1.345481,0.054763,0.471969
0.866867,0.169835,0.654991
1.175684,0.033766,0.543412
0.449971,0.151231,0.625950
1.655726,1.046216,0.415036
0.390085,0.019125,0.639093
1.298352,1.128303,0.564461
1.156836,1.615715,0.452678
0.434601,-0.001569,0.546805
1.606829,0.300160,0.608447
1.177477,0.038274,0.610185
1.740504,0.828225,0.536328
0.368535,0.004382,0.545952
1.850975,0.326339,0.547712
0.410254,0.005544,0.618936
1.291634,0.486651,0.644748
2.018707,0.009353,0.572610
0.268604,0.049676,0.494886
0.604141,0.364740,0.499379
1.092452,0.573980,0.636856
2.279806,0.898567,0.486343
2.212343,0.449609,0.631536
1.574780,1.066145,0.438220
1.943587,0.084041,0.552247
1.182411,0.472745,0.652484
2.103740,0.552316,0.504999
2.031345,0.058181,0.524211
1.147901,0.084463,0.597259
1.503953,0.414650,0.611019
1.821528,0.074550,0.555984
1.504313,1.373400,0.375885
1.830576,0.245503,0.619765
2.156442,0.667261,0.447858
1.638399,0.350576,0.570548
0.843737,0.565182,0.709495
2.060502,0.206985,0.515589
2.284365,0.138540,0.494815
1.193330,0.073838,0.553369
1.050866,0.134070,0.520344
0.730828,0.148123,0.662473
2.539382,0.069413,0.601594
1.843725,0.303314,0.581161
2.028522,0.096848,0.531126
1.089405,0.240701,0.578092
1.596742,1.561840,0.445016
1.775409,0.928200,0.415875
1.914799,-0.036018,0.568530
1.441018,1.142255,0.416574
1.578322,0.761287,0.420747
1.674614,0.213054,0.531054
2.082669,0.221821,0.598487
