Dg,LLE,H
1.649329,0.314800,0.725682
1.924794,0.050978,0.689687
1.669551,0.022485,0.737830
2.561362,0.024203,0.652806
2.779425,0.025035,0.739347
1.933718,0.320121,0.814928
2.641134,0.037670,0.722539
1.542583,-0.012812,0.743683
1.462710,0.036732,0.740500
2.145031,0.152148,0.817087
1.147702,0.156646,0.742601
1.438604,0.233864,0.689236
2.229377,0.179339,0.668241
2.734132,0.081828,0.783694
2.420522,0.556982,0.735575
1.443748,0.073314,0.765126
1.532921,0.099676,0.724133
3.001496,0.136066,0.711709
0.303149,0.177463,0.690697
1.661223,-0.031075,0.678525
2.439317,-0.083105,0.769077
1.783113,0.616652,0.717198
1.702788,0.584814,0.788480
2.589935,-0.004922,0.665491
1.846062,0.334011,0.781191
3.053620,0.183585,0.772388
2.055653,-0.068689,0.692018
2.568342,-0.149758,0.720272
3.015594,0.039865,0.642280
2.876216,0.068172,0.697689
1.314467,-0.076028,0.693041
2.603787,0.014713,0.725048
1.864101,-0.023297,0.689633
2.899737,-0.025134,0.707614
1.421759,0.116349,0.783182
1.463128,0.034863,0.775862
1.865042,-0.033826,0.713416
2.590688,-0.005403,0.648250
2.588090,0.269543,0.786299
1.834746,-0.016241,0.715769
1.241689,0.075229,0.765633
1.995644,0.027936,0.669494
1.581517,0.218860,0.665514
1.073811,0.109223,0.672816
2.745788,0.167090,0.717287
1.911188,0.450810,0.713859
1.716252,0.011847,0.749237
2.476067,-0.018236,0.752021
2.706386,-0.036429,0.673204
2.182460,0.098240,0.750913
2.446486,0.101776,0.794245
2.768845,0.043077,0.670497
2.530702,0.006917,0.758983
2.140330,0.044233,0.768748
2.169952,0.126020,0.701087
2.459232,0.208451,0.728253
2.029509,0.326429,0.807238
3.149511,0.082909,0.719505
1.725088,0.257066,0.713226
2.432561,0.211567,0.697645
1.297303,0.138469,0.665739
1.570264,0.026622,0.712216
0.864888,0.366289,0.644003
3.001794,0.142872,0.731308
2.088100,0.070087,0.694658
2.125563,-0.066686,0.702142
1.279453,0.332978,0.689311
0.860005,0.373284,0.740820
1.604279,0.036353,0.765239
1.439558,-0.065832,0.698739
2.222845,0.217339,0.766660
2.887220,0.036031,0.724048
1.623290,0.071538,0.734609
2.112061,0.135357,0.728603
1.565857,0.158999,0.762736
2.266507,0.331019,0.753333
2.497784,0.001111,0.764482
2.762983,0.089384,0.675220
2.205603,0.015467,0.720886
1.873052,0.000837,0.692038
1.546364,0.164240,0.766022
1.563608,-0.116538,0.708638
1.262796,0.282338,0.716134
1.582560,0.006586,0.764767
2.767287,-0.040726,0.707271
2.457285,-0.066978,0.683511
1.957437,-0.053564,0.767461
1.835137,0.000914,0.771183
1.481641,0.057560,0.734596
1.914865,0.144901,0.697301
1.678341,0.373328,0.727140
1.804397,0.085097,0.714686
1.998576,0.197066,0.652458
2.929184,0.212963,0.725138
2.501945,0.119732,0.687223
1.049587,-0.024769,0.687094
2.359118,0.128531,0.687009
2.386107,0.237506,0.726298
2.753614,0.082360,0.645974
1.797333,-0.088494,0.711465
